child_dgroup_id,parent_type,parent_id,parent_label,child_name
DG01930,dgroup,DG01978,Folic acid analog,Dihydrofolate reductase inhibitor
DG01932,root,Antiparasitic,Antiparasitic,"Antifolate, antiprotozoal"
DG01933,root,Metabolizing enzyme inhibitor,Metabolizing enzyme inhibitor,CYP2C19 inhibitor
DG01934,root,Hormonal agent,Hormonal agent,Antithyroid agent
DG01935,dgroup,DG02018,Antimetabolite,Fluoropyrimidine antineoplastic
DG01935,dgroup,DG01958,"Nucleic acid derivative, antineoplastic",Fluoropyrimidine antineoplastic
DG01936,dgroup,DG01985,Disease modifying anti-rheumatic drug (DMARD),TNF inhibitor
DG01937,root,Antiviral,Antiviral,Anti-cytomegalovirus agent
DG01938,root,Metabolizing enzyme inducer,Metabolizing enzyme inducer,CYP2D6 inducer
DG01940,dgroup,DG03200,Antipsychotic agent,Butyrophenone derivative
DG01941,dgroup,DG03200,Antipsychotic agent,Benzamide antipsychotic
DG01942,dgroup,DG03200,Antipsychotic agent,Iminobenzyl antipsychotic
DG01943,root,Analgesic,Analgesic,Triptan
DG01944,dgroup,DG02046,Hydrazinophthalazine derivative,Todralazine
DG01945,dgroup,DG01946,Hypolipidemic agent,Bile acid sequestrant
DG01946,root,Hypolipidemic agent,Hypolipidemic agent,Hypolipidemic agent
DG01947,dgroup,DG01504,Nonsteroidal anti-inflammatory drug (NSAID),"Anti-inflammatory drug, pyrazolone"
DG01948,dgroup,DG01918,Tyrosine kinase inhibitor,Gilteritinib
DG01948,dgroup,DG01917,Receptor tyrosine kinase inhibitor,Gilteritinib
DG01948,dgroup,DG01633,CYP3A/CYP3A4 substrate,Gilteritinib
DG01948,dgroup,DG02913,CYP3A4 substrate,Gilteritinib
DG01948,dgroup,DG01665,ABCB1 substrate,Gilteritinib
DG01949,dgroup,DG01504,Nonsteroidal anti-inflammatory drug (NSAID),"Anti-inflammatory drug, phenylbutazones"
DG01949,dgroup,DG01947,"Anti-inflammatory drug, pyrazolone","Anti-inflammatory drug, phenylbutazones"
DG01950,root,Blood modifier agent,Blood modifier agent,Antithrombotic agent
DG01951,root,Cardiovascular agent,Cardiovascular agent,Catecholamine adrenergic receptor agonist
DG01952,root,Cardiovascular agent,Cardiovascular agent,Vasopressin analog
DG01953,root,Hormonal agent,Hormonal agent,Thyroid preparation
DG01954,dgroup,DG01975,Agents for peptic ulcer,Antacid
DG01955,root,Anti-inflammatory,Anti-inflammatory,Corticosteroid
DG01956,root,Gastrointestinal agent,Gastrointestinal agent,Bile acid preparation
DG01958,dgroup,DG02018,Antimetabolite,"Nucleic acid derivative, antineoplastic"
DG01959,dgroup,DG01961,Prostaglandin derivative,Prostaglandin E2 derivative
DG01960,dgroup,DG01961,Prostaglandin derivative,Prostaglandin F derivative
DG01961,root,Hormonal agent,Hormonal agent,Prostaglandin derivative
DG01962,dgroup,DG03198,Anti-HCV agent,"alpha-Glucosidase inhibitor, antiviral"
DG01963,dgroup,DG01964,Ergot alkaloid,"Vasodilator, ergot alkaloid"
DG01964,root,Neuropsychiatric agent,Neuropsychiatric agent,Ergot alkaloid
DG01965,root,Antineoplastic,Antineoplastic,Vinca alkaloid antineoplastic
DG01966,root,Antibacterial,Antibacterial,Antitubercular
DG01967,root,Neuropsychiatric agent,Neuropsychiatric agent,Antiparkinson agent
DG01968,root,Neuropsychiatric agent,Neuropsychiatric agent,Antidementia agent
