entry_id,name,formula,mol_weight,atc_codes,dgroup_id,compound_id,therapeutic_category,efficacy,cas,pubchem,chebi
D02472,Atovaquone and proguanil hydrochloride; Malarone (TN),C22H19ClO3. C11H16ClN5. HCl,657.0296,P01BB51,,,6419,Antimalarial,156879-69-5,17396658,
D02473,Enrofloxacin (USP/INN); ERFX; Baytril (TN),C19H22FN3O3,359.3947,,,,,"Antibacterial (veterinary), Nucleic acid biosynthesis inhibitor",93106-60-6,7849528,35720
D02474,Rufloxacin (INN),C17H18FN3O3S,363.4065,J01MA10,DG00622,C11240,,"Antibacterial, Nucleic acid biosynthesis inhibitor",101363-10-4,7849529,8909
D02475,Sitafloxacin (USAN); Sitafloxacin hydrate (JAN),(C19H18ClF2N3O3)2. 3H2O,873.6745,J01MA21,,,6241,"Antibacterial, Nucleic acid biosynthesis inhibitor",163253-35-8,7849530,
D02476,Meclocycline (USAN/INN),C22H21ClN2O8,476.8637,D10AF04,DG00437,,,"Antibacterial, Protein biosynthesis inhibitor",2013-58-3,7849531,
D02477,Meclocycline sulfosalicylate (USP); Meclan (TN),C22H21ClN2O8. C7H6O6S,695.0477,D10AF04,DG00437,,,"Antibacterial, Protein biosynthesis inhibitor",73816-42-9,7849532,
D02478,Disulfamide (BAN),C7H9ClN2O4S2,284.7404,,,,,Diuretic,671-88-5,7849533,
D02479,Aminothiazole (INN),C3H4N2S,100.1423,,,,,Antibacterial,96-50-4,7849534,40782
D02480,Diloxanide furoate (USP); Diloxanide furoate (TN),C14H11Cl2NO4,328.1474,P01AC01,DG01010,C07637,,"Amebicide, Antiprotozoal",3736-81-0,17396659,4601
D02481,Artemisinin (INN); Qing Hau Sau,C15H22O5,282.3322,P01BE01,,C09538,,Antimalarial,63968-64-9,17396660,182445 182769 223316
D02482,Artesunate (USAN); Artesunic acid; Arsumax (TN); Artesunate (TN),C19H28O8,384.4208,P01BE03,,,,Antimalarial,88495-63-0,17396661,63918
D02483,Artemether (JAN/USAN/INN),C16H26O5,298.3746,P01BE02,,,,Antimalarial,71963-77-4,17396662,195280
D02484,Artemether and lumefantrine; Coartem (TN),C30H32Cl3NO. C16H26O5,827.3148,P01BF01,,,6419,Antimalarial,141204-94-6,17396663,
D02485,Halofantrine hydrochloride (USAN); Halfan (TN),C26H30Cl2F3NO. HCl,536.8847,P01BX01,DG01021,,,Antimalarial,36167-63-2,17396664,
D02486,Nitazoxanide (USAN/INN); Alinia (TN),C12H9N3O5S,307.282,P01AX11,,,,Antiprotozoal,55981-09-4,17396665,189884
D02487,Proguanil hydrochloride (JAN/USP); Chloroguanide hydrochloride; Paludrine (TN),C11H16ClN5. HCl,290.1922,P01BB01,DG01018,,,Antimalarial,637-32-1,17396666,
D02489,Benznidazole (USAN/INN); benznidazole (TN); Radanil (TN); Rochagan (TN),C12H12N4O3,260.2487,P01CA02,,,,Antiprotozoal,22994-85-0,17396667,133833
D02490,Tylosin (USP/INN); TS; Tylan (TN),C46H77NO17,916.1001,,DG01436,C01457,,"Antibacterial (veterinary), Protein biosynthesis inhibitor",1401-69-0,7849535,17658
D02491,Meglumine antimonate; Glucantime (TN),C7H17NO5. SbO3. H,365.9797,P01CB01,,,,Antiparasitic,133-51-7,17396668,
D02492,Tilmicosin (USP/INN); TMS; Micotil (TN),C46H80N2O13,869.133,,DG01435,,,"Antibacterial (veterinary), Protein biosynthesis inhibitor",108050-54-0,7849536,
D02493,Tilmicosin phosphate (USAN); TP,C46H80N2O13. H3PO4,967.1282,,DG01435,,,"Antibacterial (veterinary), Protein biosynthesis inhibitor",137330-13-3,7849537,
D02494,Miltefosine (INN); Impavido (TN),C21H46NO4P,407.568,P01CX04,,,,Antiprotozoal,58066-85-6,17396669,75283
D02495,Valganciclovir (INN),C14H22N6O5,354.3617,J05AB14,DG00649,,,"Antiviral, DNA polymerase ihibitor",175865-60-8,47205808,63635
D02496,Methisazone (USAN); Metisazone (INN); Marboran,C10H10N4OS,234.2776,J05AA01,,,,Antiviral,1910-68-5,17396670,
D02497,Fosamprenavir (INN),C25H36N3O9PS,585.6068,J05AE07,DG00656,,,"Antiviral, HIV protease inhibitor",226700-79-4,17396671,82941
D02498,Lopinavir and ritonavir; Kaletra (TN),C37H48N6O5S2. C37H48N4O5,1349.745,J05AR10,,,6250,Antiviral,369372-47-4,17396672,145924
D02499,Enfuvirtide (USAN/INN); Fuzeon (TN),C204H301N51O64,4491.876,J05AX07,,,,"Antiviral, HIV-1 gp41 fusion inhibitor",159519-65-0,17396673,608828
D02500,Imiquimod (JAN/USP/INN); Aldara (TN); Zyclara (TN),C14H16N4,240.3036,D06BB10,,,6290,"Antiviral, Immunomodulator, Toll-like receptor agonist",99011-02-6,17396674,
D02501,Caspofungin acetate (JAN/USAN); Cancidas (TN),C52H88N10O15. (C2H4O2)2,1213.417,J02AX04,DG00636,,6179,"Antifungal, Cell wall biosynthesis inhibitor",179463-17-3,17396675,59900
D02502,Ampicillin and cloxacillin; Viccillin S (TN),,,J01CA51 J01CR50 J01RA01,,,6191,"Antibacterial, Cell wall biosynthesis inhibitor",,17396676,
D02503,Clavulanic acid and ticarcillin; Augpenin (TN); Timentin (TN),C15H16N2O6S2. C8H9NO5,583.5881,J01CR03 J01RA01,,,,Antibacterial,86482-18-0,17396677,
D02504,Aspoxicillin hydrate (JP18); ASPC; Doyle (TN),C21H27N5O7S. 3H2O,547.5792,J01CA19,DG00533,,,"Antibacterial, Cell wall biosynthesis inhibitor",,17396678,
D02505,Tazobactam and piperacillin (JP18); Piperacillin sodium and tazobactam; Tazocin (TN); Zosyn (TN),C23H26N5O7S. C10H12N4O5S. Na,839.8277,J01CR05 J01RA01,,,6139,Antibacterial,,17396679,
D02506,Phenoxymethylpenicillin benzathine (JAN); Penicillin V benzathine tetrahydrate,(C16H18N2O5S)2. C16H20N2. 4H2O,1013.1836,J01CE02 J01CE10,DG00535,,,"Antibacterial, Cell wall biosynthesis inhibitor",63690-57-3,17396680,
D02507,Nihydrazone (INN),C7H7N3O4,197.1482,,,,,Antiprotozoal,67-28-7,17396681,
D02508,Pivampicillin hydrochloride (USAN),C22H29N3O6S. HCl,500.0081,J01CA02,DG00518,,,"Antibacterial, Cell wall biosynthesis inhibitor",26309-95-5,17396682,
D02509,Panipenem and betamipron (JP18); Carbenin (TN),C15H21N3O4S. C10H11NO3,532.6092,J01DH55,,,6139,Antibiotic,138240-65-0,17396683,
D02510,Furaltadone (INN); Altafur (TN),C13H16N4O6,324.2893,,,,,Anti-infective (urinary),139-91-3,17396684,74803
D02511,Furalazine (prop.INN),C9H7N5O3,233.1836,,,,,Antibacterial,556-12-7,17396685,
D02512,Dihydrostreptomycin sulfate (USP),(C21H41N7O12)2. 3H2SO4,1461.4153,S01AA15,DG01122,,,"Antibacterial, Protein biosynthesis inhibitor",5490-27-7,17396686,
D02513,Nifurpirinol (USAN); Furanace (TN),C12H10N2O4,246.2188,,,,,Antibacterial,13411-16-0,17396687,
D02514,Nifuradene (USAN/INN),C8H8N4O4,224.1735,,,C19272,,Antibacterial,555-84-0,17396688,82352
D02515,Nifuroxime (INN),C5H4N2O4,156.0963,,,,,Antiprotozoal,6236-05-1,17396689,
D02516,Sulfamoxole (USAN/INN),C11H13N3O3S,267.3042,J01EC03,,,,"Antibacterial, Folic acid biosynthesis inhibitor",729-99-7,17396690,55548
D02517,Sulfameter (USAN); Sulfametoxydiazine (INN); Sulfamethoxypyrimidine; Sulla (TN),C11H12N4O3S,280.303,J01ED04,,,,Antibacterial,651-06-9,17396691,53727
D02518,Dihydroxymethylfuratrizine; Panfuran-S (TN),C11H11N5O5,293.2355,,,C19289,,Antibacterial,794-93-4,17396692,82366
D02519,Sulfacytine (USAN); Renoquid (TN),C12H14N4O3S,294.3296,,,,,"Antibacterial, Folic acid biosynthesis inhibitor",17784-12-2,17396693,
D02520,Glucosulfone (INN); Glucosulfone sodium; Protomin (TN),C24H34N2O18S3. 2Na,780.7039,,,,,Antibacterial (leprostatic),554-18-7,17396694,
D02521,Aldesulfone sodium (INN); Sulfoxone sodium; Diasone sodium (TN),C14H14N2O6S3. 2Na,448.4453,J04BA03,,,,Antibacterial (leprostatic),144-75-2,17396695,
D02522,Thiazosulfone (INN); Thiazolsulfone; Promizole (TN),C9H9N3O2S2,255.3167,,,,,Antibacterial,473-30-3,17396696,
D02523,Erythromycin acistrate (USAN); Erasis (TN),C39H69NO14. C18H36O2,1060.4407,D10AF02 J01FA01 S01AA17,DG00436,,,"Antibacterial, Protein biosynthesis inhibitor",96128-89-1,17396697,
D02524,Erythromycin gluceptate (USP); Erythromycin glucoheptonate; Ilotycin gluceptate (TN),C37H67NO13. C7H14O8,960.108,D10AF02 J01FA01 S01AA17,DG00436,,,"Antibacterial, Protein biosynthesis inhibitor",23067-13-2,17396698,
D02525,Erythromycin propionate (USAN),C40H71NO14,789.99,D10AF02 J01FA01 S01AA17,DG00436,,,"Antibacterial, Protein biosynthesis inhibitor",134-36-1,17396699,
D02526,Guanofuracin; Guanofuracin (TN),C6H7N5O3. HCl,233.6124,,,,,Antibacterial,946-48-5,17396700,
D02527,Aminopterin sodium (INN),C19H18N8O5. 2Na,484.3764,,,,,"Antineoplastic, Antimetabolite",58602-66-7,17396701,
D02528,Furylfuramide; AF-2 (TN),C11H8N2O5,248.1916,,,C19558,,Food additive (antibacterial),3688-53-7,17396702,15660
D02529,Panazon; Panazon (TN),C14H12N6O6. HCl,396.7426,,,,,Antibacterial (veterinary),2315-20-0,17396703,
D02530,Colistin sulfate and fradiomycin sulfate; Colimy foam (TN),C55H95N16O13R. C22H41N5O13(R1)(R2). 3H2SO4. xH2SO4,,,,,,Antibacterial,,17396704,
D02531,"Bacitracin zinc, neomycin sulfate and polymixin B sulfate; Neosporin (TN)",,,,,,,Antibiotic (topical),,47205809,
D02534,Nitrovin (BAN); Difurazone; Nitrovin (TN),C14H12N6O6,360.2817,,,C19487,,"Food additive (veterinary), Growth stimulant (veterinary)",804-36-4,17396705,82516
