variant_id,gene_symbol,gene_description,ko_id
3718v1,JAK3,Janus kinase 3,K11218
374654v1,KIF7,kinesin family member 7,K18806
3748v1,KCNC3,potassium voltage-gated channel subfamily C member 3,K04889
374v1,AREG,amphiregulin,K09782
3752v1,KCND3,potassium voltage-gated channel subfamily D member 3,K04893
3762v1,KCNJ5,potassium inwardly rectifying channel subfamily J member 5,K04999
3796v1,KIF2A,kinesin family member 2A,K10393
37v1,ACADVL,acyl-CoA dehydrogenase very long chain,K09479
3814v1,KISS1,KiSS-1 metastasis suppressor,K23140
3815v1,KIT,"KIT proto-oncogene, receptor tyrosine kinase",K05091
3818v1,KLKB1,kallikrein B1,K01324
3827v1,KNG1,kininogen 1,K03898
383v1,ARG1,arginase 1,K01476
3845v1,KRAS,"KRAS proto-oncogene, GTPase",K07827
3845v2,KRAS,"KRAS proto-oncogene, GTPase",K07827
389434v1,IYD,iodotyrosine deiodinase,K17231
392255v1,GDF6,growth differentiation factor 6,K20012
3930v1,LBR,lamin B receptor,K19532
3939v1,LDHA,lactate dehydrogenase A,K00016
3949v1,LDLR,low density lipoprotein receptor,K12473
3955v1,LFNG,LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,K05948
3973v1,LHCGR,luteinizing hormone/choriogonadotropin receptor,K04248
3978v1,LIG1,DNA ligase 1,K10747
3980v1,LIG3,DNA ligase 3,K10776
3981v1,LIG4,DNA ligase 4,K10777
3988v1,LIPA,"lipase A, lysosomal acid type",K01052
4000v1,LMNA,lamin A/C,K12641
4005v1,LMO2,LIM domain only 2,K15612
4023v1,LPL,lipoprotein lipase,K01059
4036v1,LRP2,LDL receptor related protein 2,K06233
4038v1,LRP4,LDL receptor related protein 4,K20051
4040v1,LRP6,LDL receptor related protein 6,K03068
4040v2,LRP6,LDL receptor related protein 6,K03068
4041v1,LRP5,LDL receptor related protein 5,K03068
404672v1,GTF2H5,general transcription factor IIH subunit 5,K10845
4047v1,LSS,lanosterol synthase,K01852
4054v1,LTBP3,latent transforming growth factor beta binding protein 3,K08023
405753v1,DUOXA2,dual oxidase maturation factor 2,K17232
4087v1,SMAD2,SMAD family member 2,K04500
4087v2,SMAD2,SMAD family member 2,K04500
4088v1,SMAD3,SMAD family member 3,K23605
4089v1,SMAD4,SMAD family member 4,K04501
4093v1,SMAD9,SMAD family member 9,K16791
4094v1,MAF,MAF bZIP transcription factor,K09035
410v1,ARSA,arylsulfatase A,K01134
411v1,ARSB,arylsulfatase B,K01135
4125v1,MAN2B1,mannosidase alpha class 2B member 1,K12311
4128v1,MAOA,monoamine oxidase A,K00274
4149v1,MAX,MYC associated factor X,K04453
4153v1,MBL2,mannose binding lectin 2,K03991
4158v1,MC2R,melanocortin 2 receptor,K04200
4171v1,MCM2,minichromosome maintenance complex component 2,K02540
4173v1,MCM4,minichromosome maintenance complex component 4,K02212
4174v1,MCM5,minichromosome maintenance complex component 5,K02209
4179v1,CD46,CD46 molecule,K04007
4193v1,MDM2,MDM2 proto-oncogene,K06643
4210v1,MEFV,"MEFV innate immunity regulator, pyrin",K12803
4221v1,MEN1,menin 1,K14970
4233v1,MET,"MET proto-oncogene, receptor tyrosine kinase",K05099
4233v2,MET,"MET proto-oncogene, receptor tyrosine kinase",K05099
4233v3,MET,"MET proto-oncogene, receptor tyrosine kinase",K05099
4233v4,MET,"MET proto-oncogene, receptor tyrosine kinase",K05099
